# Pathway	R10_1_kneaddata_Abundance-CPM	R10_3_kneaddata_Abundance-CPM	R10_4_kneaddata_Abundance-CPM	R11_1_kneaddata_Abundance-CPM	R12_1_kneaddata_Abundance-CPM	R12_2_kneaddata_Abundance-CPM	R12_3_kneaddata_Abundance-CPM	R13_1_kneaddata_Abundance-CPM	R13_2_kneaddata_Abundance-CPM	R13_3_kneaddata_Abundance-CPM	R14_1_kneaddata_Abundance-CPM	R14_2_kneaddata_Abundance-CPM	R14_3_kneaddata_Abundance-CPM	R15_1_kneaddata_Abundance-CPM	R1_1_kneaddata_Abundance-CPM	R1_2_kneaddata_Abundance-CPM	R1_4_kneaddata_Abundance-CPM	R2_1_kneaddata_Abundance-CPM	R2_2_kneaddata_Abundance-CPM	R2_4_kneaddata_Abundance-CPM	R3_1_kneaddata_Abundance-CPM	R3_2_kneaddata_Abundance-CPM	R3_3_kneaddata_Abundance-CPM	R4_1_kneaddata_Abundance-CPM	R4_2_kneaddata_Abundance-CPM	R4_3_kneaddata_Abundance-CPM	R4_4_kneaddata_Abundance-CPM	R5_1_kneaddata_Abundance-CPM	R5_4_kneaddata_Abundance-CPM	R6_1_kneaddata_Abundance-CPM	R6_2_kneaddata_Abundance-CPM	R6_3_kneaddata_Abundance-CPM	R7_1_kneaddata_Abundance-CPM	R7_2_kneaddata_Abundance-CPM	R7_3_kneaddata_Abundance-CPM	R7_4_kneaddata_Abundance-CPM	R8_1_kneaddata_Abundance-CPM	R8_2_kneaddata_Abundance-CPM	R8_3_kneaddata_Abundance-CPM	R8_4_kneaddata_Abundance-CPM	R9_1B_kneaddata_Abundance-CPM	R9_1_kneaddata_Abundance-CPM	R9_2_kneaddata_Abundance-CPM	R9_3_kneaddata_Abundance-CPM	R9_4_kneaddata_Abundance-CPM
UNMAPPED	89534.4	335092	311083	333791	125252	295142	304150	143641	213885	331362	80889.8	219811	254290	110574	133691	194620	303708	174341	299892	305603	136605	195650	113205	96256.4	316339	391503	465373	95166.6	208459	152079	149292	140362	132299	240108	248428	223860	99778.7	368593	269094	346128	156849	82709.3	261210	320356	264665
UNINTEGRATED	826857	625773	649332	620850	778333	654065	647480	772208	723897	625345	822036	722033	697235	794072	789665	751288	648979	759613	651000	644137	790575	737738	823976	824779	644559	569925	498026	821959	736792	762817	781250	788443	784125	707546	696413	719687	808276	588146	679291	606789	767776	840061	685264	629814	694337
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	0	0	0	2361.4	0	0	0	0	0	0	0	0	0	0	0	0	0	6729.01	0	0	9712.68	258969	40816.1	0	0	0	0	2095.93	0	0	0	0	0	5662.29	15808.6	0	0	1952.19	0	1571.35	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_europaeus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5033.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_oral_taxon_180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1734.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488.411	755.781	0	0	0	700.381	815.692	0	1035.01	1801.47	0	0	0	3763.93	3354.47	2866.62	0	1766.27	1134.38	0
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0	0	0	0	0	7097.3	0	0	0	10023.8	0	0	0	0	0	0	11559	0	0	0	0	0	0	0	0	0	0	0	7360.5	0	0	2627.96	0	10360.8	4523.99	9818.94	0	0	2948.8	0	0	0	20174.3	5442.81	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	175808	0	0	0	0	0	0	17010.2	0	0	0	0	0	0	108729	21363.5	0	32419	9470.27	330727	0	0	0	27415.6	0	165691	150296	26044.9	0	2616.55	3372.98	0	0	0	0	0	0	0	69201	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0	820.096	0	0	0	0	0	66886.9	0	7754.23	0	0	14868.6	0	0	1885.72	0	0	1401.35	0	0	0	0	0	6828.39	4124.11	4469.52	0	0	0	72.6987	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1748.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
