Lipid,Group
PC(18:1_18:2);PC(18:0_18:3);PC(16:0_20:3),PC
PC(18:1_20:3);PC(16:0_22:4),PC
PC(18:1_22:6),PC
PC(18:2/18:2),PC
PC(18:2_18:3),PC
PC(18:2_20:4),PC
PC(28:0),PC
PC(32:1),PC
PC(36:0),PC
PC(37:4),PC
PC(37:5)a,PC
PC(38:1),PC
PC(38:2),PC
PC(38:5),PC
PC(38:7)a,PC
PC(40:6),PC
PC(O-16:0/16:0),PC
PC(O-16:0/20:3),PC
PC(O-16:0/20:4);PC(P-18:0/18:3),PC
PC(O-16:0/20:5);PC(P-16:0/20:4),PC
PC(O-16:0/22:5);PC(P-18:0/20:4),PC
PC(O-16:0/22:6),PC
PC(O-18:0/16:0),PC
PC(O-18:0/20:4),PC
PC(O-18:0/22:4),PC
PC(O-18:0/22:5),PC
PC(P-16:0/16:0),PC
PC(P-16:0/18:1),PC
PC(P-16:0/18:1);PC(P-18:0/16:1),PC
PC(P-18:0/16:0),PC
PC(P-18:0/20:4),PC
PE(16:0/16:0),PE
PE(16:0_18:0),PE
PE(16:0_18:1),PE
PE(16:0_18:1)a,PE
PE(16:0_18:1)b,PE
PE(16:0_18:2),PE
PE(16:0_18:3),PE
PE(16:0_20:4);PE(18:2/18:2),PE
PE(16:0_22:5);PE(18:1_20:4)a,PE
PE(16:0_22:5);PE(18:1_20:4)b,PE
PE(16:0_22:6),PE
PE(17:1_18:0)a,PE
PE(17:1_18:0)b,PE
PE(18:0_18:1),PE
PE(18:0_18:2);PE(18:1/18:1),PE
PE(18:0_20:4),PE
PE(18:1_18:2),PE
PE(18:1_18:2)a,PE
PE(32:1)a,PE
PE(32:1)b,PE
PE(O-16:0/20:4),PE
PE(O-18:0/20:4),PE
PE(P-16:0/18:1),PE
PE(P-16:0/18:2),PE
PE(P-16:0/20:2),PE
PE(P-16:0/20:3),PE
PE(P-16:0/20:4),PE
PE(P-16:0/22:4),PE
PE(P-16:0/22:5),PE
PE(P-16:0/22:6),PE
PE(P-18:0/18:1),PE
PE(P-18:0/18:2),PE
PE(P-18:0/20:3),PE
PE(P-18:0/20:4),PE
PE(P-18:0/20:5),PE
PE(P-18:0/22:4),PE
PE(P-18:0/22:5),PE
PE(P-18:0/22:6),PE
PG(14:0_16:0),PG
PG(14:0_18:1);PG(16:0_16:1),PG
PG(15:0_16:0),PG
PG(15:0_18:1),PG
PG(15:0_18:3),PG
PG(15:0_20:4),PG
PG(16:0/16:0),PG
PG(16:0_17:1),PG
PG(16:0_18:0),PG
PG(16:0_18:1),PG
PG(16:0_18:2),PG
PG(16:0_19:1);PG(17:0_18:1),PG
PG(16:0_20:3)a,PG
PG(16:1_17:1),PG
PG(16:1_18:1);PG(17:1/17:1),PG
PG(17:0_18:2);PG(17:1_18:1),PG
PG(18:0/18:0),PG
PG(18:0_18:1);PG(16:0_20:1),PG
PG(18:0_18:3);PG(16:0_20:3)b;PG(18:1_18:2),PG
PG(18:0_20:2);PG(18:2_20:0),PG
PG(18:1_20:1),PG
PG(18:1_22:6);PG(18:3_22:4),PG
PG(18:2_19:0),PG
PG(20:4/20:4),PG
PG(34:1),PG
PG(36:2),PG
PG(36:6),PG
PG(38:4),PG
PG(41:6),PG
PG(46:6),PG
PI(14:0_18:0);PI(16:0/16:0),PI
PI(16:0_16:1),PI
PI(16:0_18:1),PI
PI(16:0_18:2),PI
PI(16:0_20:3),PI
PI(16:0_20:4),PI
PI(16:0_22:3),PI
PI(17:0_20:4),PI
PI(18:0_18:1),PI
PI(18:0_18:2);PI(18:1/18:1),PI
PI(18:0_20:3),PI
PI(18:0_22:4),PI
PI(18:0_22:6),PI
PI(18:1_18:2);PI(18:0_18:3),PI
PI(18:1_20:3);PI(18:0_20:4),PI
PI(18:1_20:4),PI
PS(16:1_22:1),PS
PS(18:0_20:0),PS
PS(18:0_22:3),PS
PS(38:1),PS
SM(d16:1/16:0);SM(d18:1/14:0),SM
SM(d16:1/24:1);SM(d18:1/22:1);SM(d18:2/22:0),SM
SM(d17:0/18:1),SM
SM(d17:1/16:0),SM
SM(d17:1/24:0);SM(d18:1/23:0),SM
SM(d18:0/18:0),SM
SM(d18:0/18:1),SM
SM(d18:1/16:0),SM
SM(d18:1/18:0),SM
SM(d18:1/18:3),SM
SM(d18:1/20:0),SM
SM(d18:1/22:0),SM
SM(d18:1/24:0),SM
SM(d18:1/24:1),SM
SM(d18:2/16:0),SM
SM(d18:2/18:0),SM
SM(d32:0),SM
SM(d32:1),SM
SM(d34:1)a,SM
SM(d34:1)b,SM
SM(d38:1),SM
SM(d40:0),SM
SM(d41:1),SM
SM(d41:2),SM
SM(d42:3),SM
SQDG(16:0_18:3),SQDG
SQDG(16:1_18:1),SQDG
SQDG(18:0_18:2),SQDG
SQDG(18:2_18:3),SQDG
SQDG(18:3_18:3),SQDG
TG(12:0_12:0_18:1);TG(12:0_14:0_16:1);TG(12:0_14:1_16:0),TG
TG(12:0_14:0_18:1);TG(12:0_16:0_16:1),TG
TG(12:0_14:0_18:2);TG(12:0_16:1_16:1),TG
TG(12:0_16:0_18:1);TG(14:0_14:0_18:1);TG(14:0_16:0_16:1),TG
TG(12:0_16:1_18:1);TG(14:0_14:0_18:2);TG(14:0_16:1_16:1),TG
TG(14:0_14:0_16:0);TG(12:0_16:0_16:0),TG
TG(14:0_16:0_16:0),TG
TG(14:0_16:0_17:0),TG
TG(14:0_16:0_17:1),TG
TG(14:0_16:0_18:1);TG(16:0_16:0_16:1),TG
TG(14:0_16:0_18:2);TG(14:0_16:1_18:1);TG(16:0_16:1_16:1),TG
TG(14:0_16:1_18:2),TG
TG(14:0_18:1_18:1);TG(16:0_16:0_18:2),TG
TG(14:0_18:1_18:2);TG(16:1_16:1_18:1),TG
TG(14:0_18:3_18:3),TG
TG(15:0_16:0_18:1);TG(15:0_17:0_17:1),TG
TG(15:0_16:0_18:2);TG(15:0_16:1_18:1),TG
TG(15:0_16:0_20:3);TG(16:0_17:1_18:2),TG
TG(16:0_16:0_18:0),TG
TG(16:0_16:0_18:1),TG
TG(16:0_16:1_20:4);TG(16:0_18:2_18:3),TG
TG(16:0_17:0_18:1),TG
TG(16:0_17:0_18:2);TG(16:0_17:1_18:1),TG
TG(16:0_18:0_18:0),TG
TG(16:0_18:0_18:1),TG
TG(16:0_18:0_18:2);TG(16:0_18:1_18:1),TG
TG(16:0_18:0_19:1),TG
TG(16:0_18:1_18:2),TG
TG(16:0_18:1_18:3);TG(16:0_18:2_18:2),TG
TG(16:0_18:1_20:4);TG(18:1_18:2_18:2),TG
TG(16:0_18:2_19:0),TG
TG(16:0_18:3_22:4);TG(18:1_18:2_20:4),TG
TG(16:0_20:2_22:4);TG(18:0_18:0_22:6),TG
TG(16:1_16:1_18:2),TG
TG(16:1_18:1_20:4);TG(18:2/18:2/18:2),TG
TG(16:1_18:2_18:3),TG
TG(18:0/18:0/18:0),TG
TG(18:0_18:0_18:1),TG
TG(18:0_18:0_20:5);TG(18:0_18:1_20:4),TG
TG(18:0_18:1_18:1),TG
TG(18:0_18:1_18:2);TG(18:1/18:1/18:1),TG
TG(18:0_18:1_20:1),TG
TG(18:1_20:1_20:1),TG
TG(18:1_20:4_20:4),TG
TG(18:2_18:3_18:3),TG
TG(48:0),TG
TG(54:7),TG
TG(58:2),TG
